Max SUM: 6
S P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 SUM
0 7 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
1 6 0 1 2 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
2 6 1 0 2 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 1
3 5 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 2
4 6 1 0 3 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0
5 5 1 0 2 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
6 5 0 1 2 0 1 1 1 0 2 0 1 0 0 0 1 0 0 0 0 1
7 6 1 0 3 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1
8 6 1 0 3 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1
9 4 0 1 1 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 2
10 5 1 0 3 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 0
11 5 1 0 2 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
12 5 1 0 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
13 5 0 1 2 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 2
14 5 0 1 2 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2
15 6 1 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1
16 6 1 0 3 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1
17 4 1 0 2 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
18 4 0 1 2 0 1 2 1 0 2 0 1 0 0 0 1 0 0 0 0 1
19 4 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 3
20 4 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 3
21 5 1 0 3 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1
22 5 1 0 3 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1
23 5 1 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
24 5 1 0 2 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
25 5 0 1 2 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 2
26 5 0 1 2 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2
27 6 1 0 3 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 0
28 3 0 1 1 1 0 2 1 0 2 0 1 0 0 0 1 0 0 0 0 2
29 4 1 0 3 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 0
30 4 1 0 2 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
31 4 1 0 2 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
32 4 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 2
33 4 0 1 2 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 2
34 4 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 3
35 4 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 3
36 5 1 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2
37 5 1 0 3 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1
38 5 1 0 3 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 1
39 5 1 0 2 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
40 5 0 1 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1
41 6 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 1
42 6 1 0 3 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 1
43 3 1 0 2 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
44 3 0 1 2 0 1 3 1 0 2 0 1 0 0 0 1 0 0 0 0 1
45 3 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 3
46 3 0 1 1 1 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 3
47 4 1 0 3 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1
48 4 1 0 3 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 1
49 4 1 0 2 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
50 4 1 0 2 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
51 4 1 0 2 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
52 4 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 3
53 4 0 1 2 0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 2
54 4 0 1 2 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 2
55 4 0 1 1 1 0 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2
56 5 1 0 3 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 2
57 5 1 0 3 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 2
58 5 1 0 3 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 0
59 5 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
60 5 1 0 2 1 0 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
61 5 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 1 0 0 0 2
62 5 0 1 2 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 2
63 6 1 0 3 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0
64 2 0 1 1 1 0 3 1 0 2 0 1 0 0 0 1 0 0 0 0 2
65 3 1 0 3 0 1 4 1 0 2 0 1 0 0 0 1 0 0 0 0 0
66 3 1 0 2 1 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
67 3 1 0 2 1 0 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
68 3 0 1 2 0 1 2 0 1 1 0 1 0 0 0 1 0 0 0 0 2
69 3 0 1 2 0 1 2 1 0 1 1 0 0 0 0 1 0 0 0 0 2
70 3 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 4
71 3 0 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 3
72 3 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 3
73 4 1 0 3 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 2
74 4 1 0 3 0 1 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1
75 4 1 0 3 0 1 2 1 0 1 0 0 0 1 0 1 0 0 0 0 1
76 4 1 0 2 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
77 4 1 0 2 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3
78 4 1 0 2 1 0 1 1 0 2 0 1 0 0 1 1 0 0 0 0 1
79 4 0 1 2 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 3
